expedient;identificador;descripcio_contracte;data_adj;estat_licitacio;organ_contractacio;CPV;valor_estimat;link;metode_cerca;time_download;downloaded_documents;error_download;comment;downloaded documents
PAPC 2023-1-4;11676285;Suministro de Suturas Manuales;20/04/2023 0:00;Resuelta;Hospital Universitario de Getafe;"33696500;";1179264,12;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-suturas-manuales-hospital-universitario-getafe;Proveïdor: A28218675;100,79;33;;;0
CP00108/2022;11684995;"Suministro de material de osteosíntesis para extremidad inferior (lotes con alto porcentaje de ejecución) para ASEPEYO, Mutua colaboradora con la Seguridad Social, núm. 151. 
";27/01/2023 0:00;Resuelta;Subdirección General Sanitaria de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151;"33184100;";615745,11;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=jSpXq8zGw1guf4aBO%2BvQlQ%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, Proveïdor: A28218675;31,27;4;;;0
2022-7-7(2020012768);11756308;Suministro de endoprótesis vasculares periféricas e intracraneales con destino al Servicio de Radiología Intervencionista del Complejo Asistencial Universitario de Salamanca;14/12/2022 0:00;Resuelta;Gerencia de Atención Especializada de Salamanca;"33184200;33184100;";1235740,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=2nvmhJ4A%2FGlvYnTkQN0%2FZA%3D%3D;Proveïdor: A28218675;54,58;7;;;0
2023-7-004;11756370;Implantes ORL;13/12/2022 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 3;"33184000;";51709,08;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=EN3%2BNYqqtg4uf4aBO%2BvQlQ%3D%3D;CPV: 33184000;18,98;2;;;0
SSCC AM 467/22;11764667;Acuerdo marco cerrado múltiple de suministro de suturas manuales y material de sutura para los centros hospitalarios dependientes del Servei de Salut de les Illes Balears.;24/07/2023 0:00;Adjudicada;Servicio de Salud de las Illes Balears;"33141121;";4991331,25;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=tqDFB1e%2BZEGiEJrVRqloyA%3D%3D;Proveïdor: A28218675;69,75;12;;;0
2022-164;11768003;Subministrament dels generadors d'impulsos, elèctrodes i resta d'accessoris per la Clínica del Dolor de l'Hospital Clínic de Barcelona.;10/03/2023 15:00;Resuelta;Consorci Hospital Clínic de Barcelona (HCB);"33184000;";1726330,73;https://contractaciopublica.cat/ca/detall-publicacio/b6fd93b9-f47c-8687-552a-d7abbe906b3e/200010709;CPV: 33184000;63,34;0;;;0
PACU 2023-1-6;11785463;Placas, Tubos y Diverso Material de Microbiología;14/04/2023 0:00;Resuelta;Hospital Universitario de Getafe;"33696500;";1291820,75;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-placas-tubos-diverso-material-microbiologia-hospital-universitario;CPV prefix 33:  | Keywords: placas;103,77;38;;;0
2022-SUS-074;11792023;Suministro de material de osteosíntesis e  implantes quirúrgicos e instrumental necesario para el servicio de cirugía ortopédicas y traumatología de Mutua Balear.;09/08/2023 0:00;Resuelta;Dirección Gerencia de Mutua Balear, Mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social Nº 183;"33183300;33141770;33184100;";787848,13;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=JnOo8dQkm9RvYnTkQN0%2FZA%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, CPV: 33141770, 33183300;65,54;10;;;0
22EX25659;11804699;Subministrament d'endopròtesis abdominals a mida i toràciques per al Servei de Cirurgia Vascular del Consorci Corporació Sanitària Parc Taulí;22/12/2022 14:00;Resuelta;Consorci Corporació Sanitària Parc Taulí de Sabadell;"33184000;";1285686,45;https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewDcan&idDoc=115503856&lawType=3;CPV: 33184000;36,95;5;Alguns documents no s'han pogut descarregar (4 error(s));;0
CONTR 2022 0001133403;11813703;cca. 6v75slt acuerdo marco con varias empresas por el que se fijan las condiciones para el suministro de suturas mecánicas con destino a los centros sanitarios del servicio andaluz de salud;;Adjudicada;Servicio Andaluz de Salud;"33141100;";17957379,16;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=464288;Proveïdor: A28218675;115,26;35;;;0
LICT/99/139/2021/0244;11846110;Contratación del suministro de material de prótesis /implantes /osteosíntesis para intervenciones de Miembro Superior e Inferior con destino a los Hospitales de FREMAP, Mutua Colaboradora con la Seguridad Social nº 61.;11/04/2023 0:00;Resuelta;Director Gerente de FREMAP;"33184100;";5794959,99;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=cAI7bj7DxZKmq21uxhbaVQ%3D%3D;CPV prefix 33:  | Keywords: osteosintesis;188,78;26;;;0
PA 53 HMS/2023;11856548;suministro de Material necesario para ablación de fibrilación auricular mediante radiofrecuencia y ablación con catéter en procedimientos especiales para el Servicio de Cardiología, Sección Electrofisiología del Hospital Universitario Miguel Servet de Zaragoza;03/03/2023 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 2;"33182200;";2727981,73;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=TByRoXYVXicSugstABGr5A%3D%3D;Proveïdor: A28218675;18,69;2;;Cap document extret d'enllaços interiors;0
P.A. 2022-0-38;11870261;Suministro de fungible para Neurorradiología Intervencionista para el Hospital Universitario La Paz;23/03/2023 0:00;Resuelta;Hospital Universitario La Paz;"33141641;";8082810,8;https://contratos-publicos.comunidad.madrid/contrato-publico/pa-2022-0-38-suministro-fungible-neurorradiologia-intervencionista-hospital;Proveïdor: A28218675;58,95;19;;;0
;11886561;APRO-29/2023: Suministro de cementos óseos, mezcladores, jeringas y tapones para cementos de uso en cirugía ortopédica y traumatológica y cesión de instrumental necesario para su uso con destino a los distintos centros del SNS-O;;Anuncio Previo;Director Gerente del SNS-O;"33141770;";710280,0;https://hacienda.navarra.es/sicpportal/mtoFichaAnuncioPrevisto.aspx?cod=23010508513117182708;CPV: 33141770;0,34;0;No s'han trobat documents PDF a la pàgina;;0
sscc AM 422/22;11889061;Suministro de protesis de rodilla con cesión de instrumental para los centros del Servei de Salut  de les Illes Balears.;23/05/2023 0:00;Resuelta;Servicio de Salud de las Illes Balears;"33184000;";7786964,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=1c9qCqzSBsuiEJrVRqloyA%3D%3D;CPV: 33184000;44,88;7;;;0
2022-60 CB;11909399;Subministrament d'implants de pròtesis de maluc;11/01/2023 15:13;Resuelta;Consorci Hospital Clínic de Barcelona (HCB);"33184100;";1524488,26;https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewDcan&idDoc=117006141&lawType=3;Proveïdor: A28218675;49,6;10;"Sense secció ""Exec""";;0
A/SUM-000788/2023;11971649;Suministro de material fungible para hemostasia, sellado y taponamientos para el Hospital General Universitario Gregorio Marañón.;17/04/2023 0:00;Resuelta;Hospital General Universitario Gregorio Marañón;"33141127;";5489514,78;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-material-fungible-hemostasia-sellado-taponamientos-hospital-general;Proveïdor: A28218675;88,49;31;;;0
LICT/99/139/2021/0209;12008557;Contratación del Suministro de material para intervenciones quirúrgicas con destino a los Hospitales de FREMAP, Mutua Colaboradora con la Seguridad Social nº 61.;09/06/2023 0:00;Resuelta;Director Gerente de FREMAP;"33140000;33184100;33169000;";5541579,94;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=eHBv67squ0CiEJrVRqloyA%3D%3D;Proveïdor: A28218675;126,95;16;;;0
2023/00067;12011660;Acuerdo Marco para el Suministro de osteosíntesis general pediátrica (7) para el H. U. Donostia (OSI Donostialdea);;Resuelta;Director Gerente;"33183300;";634065,6;https://www.contratacion.euskadi.eus/webkpe00-kpeperfi/es/contenidos/anuncio_contratacion/exposakisap2023000067/es_doc/index.html;CPV prefix 33:  | Keywords: osteosintesis, CPV: 33183300;21,2;3;;;0
2023/AS/ASC/0018;12029518;Servicio de reparación de los motores quirúrgicos y/o de las ópticas rígidas del hospital de MAZ M.C.S.S nº11;21/03/2023 0:00;Resuelta;Dirección Área Jurídica y Prestación de MAZ, Mutua Colaboradora con la Seguridad Social, Nº 11;"50400000;";114660,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=OdyXaJw4GPerz3GQd5r6SQ%3D%3D;Proveïdor: A28218675;46,54;7;;;0
SAT 2020013283 056/2023 ;12048747;"Suministro de suturas mecánicas con destino a los Centros Sanitarios dependientes de la Gerencia Regional de Salud de Castilla y León. _x000D_
";24/01/2024 0:00;Resuelta;Gerencia Regional de Salud de Castilla y León;"33141121;";31084218,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=VGhVml%2F01217h85%2Fpmmsfw%3D%3D;Proveïdor: A28218675;131,39;15;;;0
PASAPC 2023-1-12;12053627;"&nbsp;Clavo Femoral Proximal Corto y Largo para Fracturas Intertrocantereas&nbsp;";;Pendiente de adjudicación;Hospital Universitario de Getafe;"33184000;";53568,2;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-clavo-femoral-proximal-corto-largo-fracturas-intertrocantereas-hospital;CPV: 33184000;23,2;8;;;0
PASAPC 2023-1-11;12053658;Prótesis Total y Parcial de Cadera Cementada;;Pendiente de adjudicación;Hospital Universitario de Getafe;"33184000;";46650,0;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-protesis-total-parcial-cadera-cementada-hospital-universitario-getafe;CPV: 33184000;16,34;5;;;0
PcPG/2023/807347;12076315;Carga endocortadora 60mm grapa 2,6mm endocortadora eléctrica 60mm*34cm(articulada);06/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=807347;Proveïdor: A28218675;10,04;0;;No documents amb keywords;0
P.A. 3/2023 HUP;12087127;Adquisición de Suturas Manuales para el Hospital Universitario de la Princesa;16/06/2023 0:00;Resuelta;Hospital Universitario de La Princesa;"33141121;";917945,16;https://contratos-publicos.comunidad.madrid/contrato-publico/suturas-manuales-hospital-universitario-princesa;Proveïdor: A28218675;101,49;30;;;0
CP00026/2023;12093185;Suministro material osteosíntesis especialidades de Neurocirugía y Maxilofacial, para los Hospitales de Coslada y Sant Cugat de ASEPEYO, Mutua Colaboradora con la Seguridad Social, núm. 151.;14/04/2023 0:00;Resuelta;Subdirección General Sanitaria de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151;"33184100;";43649,87;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=XfeXy0uSPt%2Brz3GQd5r6SQ%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, Proveïdor: A28218675;16,59;1;;;0
CP00006/2023;12126194;Suministro de Material de Osteosíntesis Extremidad Superior: Placas para Lesiones de Húmero, Distal y Proximal, para ASEPEYO, Mutua Colaboradora con la Seguridad Social, núm. 151.;19/04/2023 0:00;Resuelta;Subdirección General Sanitaria de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151;"33184100;";27915,36;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=g%2B3OC3%2Fj8QqiEJrVRqloyA%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, placas, Proveïdor: A28218675;20,08;2;;;0
PcPG/2023/811573;12129227;087197 - endocortadora electrica 45mm*34cm(articulada);13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811573;Proveïdor: A28218675;9,65;0;;No documents amb keywords;0
PcPG/2023/811531;12129269;058589 - carga endocortadora 45 mm grapa 2,5 mm;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811531;Proveïdor: A28218675;10,18;0;;No documents amb keywords;0
PcPG/2023/811510;12129290;041059 - tijera corva 5 mm*9 cm p/bisturi ultracision p/cirurxia abierta;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811510;Proveïdor: A28218675;9,46;0;;No documents amb keywords;0
PcPG/2023/811374;12129426;000479 - seda 3/0 ag cilindrica 1/2 cir. 26mm fio 8*45cm;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811374;Proveïdor: A28218675;10,03;0;;No documents amb keywords;0
PcPG/2023/811373;12129427;000034 - ac.poliglicolico 2 ag triangular 1/2 cir. 48mm fio 90cm absorcion medio plazo;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811373;Proveïdor: A28218675;9,89;0;;No documents amb keywords;0
PcPG/2023/811313;12129504;suturas;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811313;Proveïdor: A28218675;9,96;0;;No documents amb keywords;0
PcPG/2023/811246;12129571;086300 - carga endocortadora 60mm grapa 2,6mm;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811246;Proveïdor: A28218675;9,17;0;;No documents amb keywords;0
PcPG/2023/811195;12129622;055917 - endocortadora 60mm*28cm(articulada);13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811195;Proveïdor: A28218675;10,48;0;;No documents amb keywords;0
PcPG/2023/811183;12129634;045165 - carga endocortadora 60mm grapa 3,8mm;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811183;Proveïdor: A28218675;9,73;0;;No documents amb keywords;0
PcPG/2023/811104;12129714;022803 - sutura mecanica cortadora de un so uso 75-80mm;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811104;Proveïdor: A28218675;9,73;0;;No documents amb keywords;0
PcPG/2023/810993;12129908;008877 - canjear 10-12*100mm c/obturador c/canula radiotransparente c/estrias punta dilatadora;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=810993;Proveïdor: A28218675;10,67;0;;No documents amb keywords;0
PcPG/2023/810992;12129909;008822 - endocortadora 45mm*34cm grapa 3,5mm;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=810992;Proveïdor: A28218675;9,45;0;;No documents amb keywords;0
PcPG/2023/810991;12129910;000657 - ac.poliglicolico 5/0 2 ag espatulada 1/4 cir. 8mm fio 45cm absorcion medio plazo;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=810991;Proveïdor: A28218675;9,75;0;;No documents amb keywords;0
PcPG/2023/810990;12129911;000144 - carga sutura mecanica cortadora de un so uso 50-60;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=810990;Proveïdor: A28218675;10,27;0;;No documents amb keywords;0
PcPG/2023/810989;12129912;000014 - ac.poliglicolico 0 s/aguja fio 1*140cm absorcion medio plazo;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=810989;Proveïdor: A28218675;9,54;0;;No documents amb keywords;0
PcPG/2023/810647;12130260;070019 - aguja guia titanio esteril 3,2mm p/clavo intramedular;13/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=810647;Proveïdor: A28218675;10,35;0;;No documents amb keywords;0
0000014/2023;12130297;+6.+3ybmek contr 2023 0000113183;;Pendiente de adjudicación;Servicio Andaluz de Salud;"33184100;33100000;30000000;33000000;33184000;";18419132,26;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=516337;CPV: 33184000;22,75;3;;;0
2022-221;12138628;Subministraments de materials d'osteosíntesi facial, reconstrucció maxil·lofacial i membranes dèrmiques, amb destí a l'Institut Clínic d'Especialitats Mèdiques i Quirúrgiques de l'Hospital Clínic de Barcelona;24/10/2023 17:00;Resuelta;Consorci Hospital Clínic de Barcelona (HCB);"33184000;";1293073,2;https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/ca_ES/notice.pscp?idDoc=116809642&reqCode=viewCn;CPV prefix 33:  | Keywords: osteosintesi, CPV: 33184000;69,1;9;Alguns documents no s'han pogut descarregar (14 error(s));;0
PcPG/2023/812488;12146758;Material, suministros y otros  Otro material sanitario;15/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=812488;Proveïdor: A28218675;9,2;0;;No documents amb keywords;0
PcPG/2023/812397;12146849;Material, suministros y otros  Otro material sanitario;15/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=812397;Proveïdor: A28218675;9,37;0;;No documents amb keywords;0
PcPG/2023/812311;12146933;Material, suministros y otros  Otro material sanitario;15/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=812311;Proveïdor: A28218675;9,14;0;;No documents amb keywords;0
PcPG/2023/812133;12147129;Material, suministros y otros  Otro material sanitario;15/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=812133;Proveïdor: A28218675;9,5;0;;No documents amb keywords;0
PcPG/2023/812016;12147247;087195 - endocortadora electrica 60mm*34cm(articulada);15/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=812016;Proveïdor: A28218675;9,38;0;;No documents amb keywords;0
PcPG/2023/811973;12147290;058589 - carga endocortadora 45 mm grapa 2,5 mm;15/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811973;Proveïdor: A28218675;9,14;0;;No documents amb keywords;0
PcPG/2023/811968;12147295;055917 - endocortadora 60mm*28cm(articulada);15/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811968;Proveïdor: A28218675;9,52;0;;No documents amb keywords;0
PcPG/2023/811947;12147315;041059 - tijera corva 5 mm*9 cm p/bisturi ultracision p/cirurxia abierta;15/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811947;Proveïdor: A28218675;10,47;0;;No documents amb keywords;0
PcPG/2023/811945;12147316;041059 - tijera corva 5 mm*9 cm p/bisturi ultracision p/cirurxia abierta;14/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811945;Proveïdor: A28218675;9,16;0;;No documents amb keywords;0
PcPG/2023/811909;12147352;028746 - endogrampadora cortadora curva 40 mm grapa 4,7 mm;14/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811909;Proveïdor: A28218675;9,49;0;;No documents amb keywords;0
PcPG/2023/811899;12147362;026945 - tijera 5 mm*36 cm c/control manual p/bisturi ultracision p/cirurxia laparoscopica;14/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=811899;Proveïdor: A28218675;9,23;0;;No documents amb keywords;0
N202300095;12153155;Suministro de clavos intramedulares y tornillos canulados para Clínicas MC Mutual en Barcelona y Madrid;21/04/2023 0:00;Resuelta;Dirección General de la Mutual Midat Cyclops, Mutua Colaboradora con la Seguridad Social, nº 1;"33184100;";186390,04;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=y4cAxFcDxGUuf4aBO%2BvQlQ%3D%3D;CPV prefix 33:  | Keywords: tornillos, Proveïdor: A28218675;65,57;7;;;0
PcPG/2023/814519;12153286;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814519;Proveïdor: A28218675;9,93;0;;No documents amb keywords;0
PcPG/2023/814511;12155054;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814511;Proveïdor: A28218675;9,51;0;;No documents amb keywords;0
PcPG/2023/814510;12155055;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814510;Proveïdor: A28218675;9,89;0;;No documents amb keywords;0
PcPG/2023/814509;12155056;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814509;Proveïdor: A28218675;10,16;0;;No documents amb keywords;0
PcPG/2023/814503;12155062;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814503;Proveïdor: A28218675;10,03;0;;No documents amb keywords;0
PcPG/2023/814502;12155063;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814502;Proveïdor: A28218675;10,04;0;;No documents amb keywords;0
PcPG/2023/814499;12155066;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814499;Proveïdor: A28218675;10,53;0;;No documents amb keywords;0
PcPG/2023/814495;12155070;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814495;Proveïdor: A28218675;10,44;0;;No documents amb keywords;0
PcPG/2023/814491;12155074;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814491;Proveïdor: A28218675;9,91;0;;No documents amb keywords;0
PcPG/2023/814483;12155082;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814483;Proveïdor: A28218675;10,36;0;;No documents amb keywords;0
PcPG/2023/814482;12155083;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814482;Proveïdor: A28218675;11,27;0;;No documents amb keywords;0
PcPG/2023/814481;12155084;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814481;Proveïdor: A28218675;11,31;0;;No documents amb keywords;0
PcPG/2023/814330;12155234;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=814330;Proveïdor: A28218675;10,1;0;;No documents amb keywords;0
PcPG/2023/813831;12155741;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=813831;Proveïdor: A28218675;9,41;0;;No documents amb keywords;0
PcPG/2023/813830;12155742;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=813830;Proveïdor: A28218675;9,77;0;;No documents amb keywords;0
PcPG/2023/813541;12156049;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=813541;Proveïdor: A28218675;9,31;0;;No documents amb keywords;0
PcPG/2023/813540;12156050;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=813540;Proveïdor: A28218675;9,48;0;;No documents amb keywords;0
PcPG/2023/813539;12156051;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=813539;Proveïdor: A28218675;9,59;0;;No documents amb keywords;0
PcPG/2023/813352;12156256;Adquisición de diversos artículos, actuaciones y otros gastos derivados de la situación de emergencia ocasionada por la pandemia del COVID-19;16/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=813352;Proveïdor: A28218675;9,33;0;;No documents amb keywords;0
PcPG/2023/812793;12156542;endocortadora electrica 60mm*34cm(articulada);15/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=812793;Proveïdor: A28218675;9,64;0;;No documents amb keywords;0
PcPG/2023/812792;12156543;endocortadora electrica 45mm*34cm(articulada);15/02/2023 0:00;Adjudicada;Consellería de Sanidade  - SERGAS;"85100000;";;https://www.contratosdegalicia.gal/licitacion?N=812792;Proveïdor: A28218675;10,14;0;;No documents amb keywords;0
